Need help pleese,0
Need help,0
I need some info,0
Will you help me?,0
What else can you do?,0
What do you do?,0
What can you help me with?,0
What can you do?,0
What are you good at?,0
Need help plz,0
How can you help me,0
Can you help me?,0
How can you assist?,0
How can you help me?,0
How do you help?,0
How to help you?,0
How will you assist me?,0
i need help,0
Can you tell some info,0
Help me please,0
Is this a bot?,1
Is there a bot chatting to me?,1
Is it automated message?,1
Computer based pely,1
Bot or human?,1
Bot is chatting with me?,1
Are you system generated message?,1
Are you robot?,1
Are you machine?,1
Are you just computer?,1
Are you a robot?,1
Are you a person?,1
Are you a machine?,1
Are you a chatbot?,1
Are you a bot?,1
Are these automated messages?,1
Am I talking to a bot?,1
You are a boy are girl?,1
You are a bot or human?,1
This is a machine?,1
This is a chatbot?,1
System generated reply,1
Sir you system genretrd,1
Is this computer based response,1
Is this a machine?,1
Are you a human?,1
Hows life?,2
How was your day?,2
How you doin?,2
Whats up?,2
What's happening?,2
Kya chal raha?,2
Wassup?,2
How you doing?,2
Are you fine?,2
Are you good?,2
How are you?,2
How are you doing?,2
Only providing my number,3
Only providing my email,3
Only providing my contact details,3
Only here to give my contact,3
i am just here to provide my number,3
i am just here to provide my details,3
Who are youu?,4
What can I call you?,4
Your name?,4
Can you tell me your name?,4
Are you there?,4
Any one there?,4
What is your name?,4
are you abir?,4
Is anyone there?,4
Your name is?,4
Who is chatting?,4
Tell me about your self?,4
Who are you?,4
Who am I chatting with?,4
What's your name?,4
What should I say as your name?,4
Tell me your name?,4
What are you called?,4
No I will not give the information.,5
No. Cannot give you.,5
I don't want to tell,5
I don't want to,5
I don't think so,5
Don't have it as of now.,5
Cannot tell you,5
Won't tell,5
Won't give you,5
Sorry but I won't,5
Right now I don't have it.,5
I have a question,6
Need to aska query,6
I have a question for you,6
HAving a query,6
I have a query for you,6
I have a query,6
Have a query for you,6
Wait for two minutes,7
will you please wait,7
Can you  please wait,7
Please wait,7
Wait for some time,7
Want you to wait for me,7
Can you wait for two minutes,7
Connect me to the support of abcd company,8
I want a call back from you,8
Please tell me your tollfree number ?,8
Please tell me your mobile number?,8
Address of your company?,8
Address of abcd company?,8
How to reach out to abcd company team?,8
How to get in touch with your team?,8
Your team can be reached how?,8
Your helpline number?,8
Your company's address?,8
How to meet you,8
Your email address to reach?,8
You have any branch at kolkata?,8
How contact representative?,8
How do i contact you?,8
How to get in touch with the your team?,8
How to contact you?,8
What is your helpline number?,8
Which number I should call to reach you?,8
Which number can I call to discuss?,8
Which email should I use to reach to you?,8
Which email I must use to reach to you?,8
Give me your number need to speak,8
Give me your mobile no,8
Give me the mobile number and i will call you,8
Email I must use to co-ordinate with you,8
Getting in touch,8
I need help. Connect me with support.,8
Need a telephonic call,8
Need a person to chat with me,8
Need human agent,8
Need customer care,8
Guide me please regarding the loan?,8
Contact me on my personal number 9999999999,8
Did not solved my query,8
Contact me please,8
Guide me please,8
Call me later,8
Call me at my phone number?,8
999999999 call me now,8
arrange call for me,8
call me at my number,8
Should I get a call back tomorrow?,8
Can I call tomorrow?,8
Contact me at my mobile number,8
Call on the mobile number 9999999999,8
Call on my phone number 9999999999,8
Contact me at my phone number,8
Call on 9999999999 now,8
Please get me human to solve my query?,8
